Phonetic component,Onyomi,Vocab Quiz,Vocab Quiz answer,% kanji with commonly used vocab,No. of kanji,Onyomi count,Score
票,"ヒョウ(標,票,漂,瓢,剽,飄,縹,鰾,嫖,慓,飃,驃)","浮[ひょう]:[n-comm]buoy
座[ひょう]:[n-no;n-comm]coordinate; coordinates
固定[ひょう]:[n-comm]solid (an assured, a safe) vote; solid (assured) support
青[ひょう]:[n-comm]blue ballot (representing an opposition vote)
[ひょう]泊:[n-comm;n-suru;intrnsv]drifting (with the current, on the tide, etc.); drifting about; roaming; wandering
[ひょう]白:[n-comm;n-suru;trnsitv]blanching; bleaching
[ひょう]:[n-comm]gourd (container) made from its fruit; Lagenaria siceraria var. depressa (variety of bottle gourd); Lagenaria siceraria var. gourda (variet...
[ひょう]:[n-comm]bottle gourd; calabash; dried gourd, used as flask; gourd
[ひょう]悍:[adj-n;n-comm]daring; fierceness
[ひょう]窃:[n-no;n-comm;n-suru;trnsitv]piracy; plagiarism
[ひょう]逸:[adj-n]easygoing; happy-go-lucky; light; unconventional
[ひょう]零:[n-comm;n-suru]being ruined (reduced to poverty); blowing in the wind (e.g. leaf, petal); coming to ruin; falling low; going under; roaming; wander...
神韻[ひょう]渺:[adv-to;adjtaru](a work of art being) sublime; transcendent
[ひょう]渺:[adv-to;adjtaru]boundless; dim; faint; hazy; indistinct; limitless; vast
[ひょう]:[n-comm]air bladder; swim bladder","浮標(ふひょう)
座標(ざひょう)
固定票(こていひょう)
青票(せいひょう)
漂泊(ひょうはく)
漂白(ひょうはく)
瓢(ひょう)
瓢(ひょう)
剽悍(ひょうかん)
剽窃(ひょうせつ)
飄逸(ひょういつ)
飄零(ひょうれい)
神韻縹渺(しんいんひょうびょう)
縹渺(ひょうびょう)
鰾(ひょう)",0.67,12,1,20
扁,"ヘン(偏,編,遍,扁,篇,翩,騙,蝙,褊,諞)","[へん]食:[n-comm;n-suru;intrnsv]unbalanced diet
[へん]狭:[adj-n;n-comm]illiberality; intolerance; narrow-mindedness; narrowness
前[ぺん]:[n-comm]first part; first volume; prequel
後[へん]:[n-comm]concluding part; latter part (of book, etc.); sequel
一[ぺん]:[adv;n-comm;n-suff]alone; exclusively; only; once; one time
[へん]歴:[n-comm;n-suru;intrnsv](accumulated) experiences; (personal) history; itinerancy; pilgrimage; travels
[へん]平上皮がん:[n-comm]SCC; squamous cell carcinoma
[へん]平上皮がん:[n-comm]SCC; squamous cell carcinoma
前[ぺん]:[n-comm]first part; first volume; prequel
後[へん]:[n-comm]concluding part; latter part (of book, etc.); sequel
[へん]翻:[adv-to;adjtaru]flapping; fluttering (flag, etc.); waving
[へん][へん]:[adv-to;adjtaru]careless; fluttering; frivolous; restless
欺[へん]:[n-comm;n-suru]cheating; deceit; deception; military deception
欺[へん]:[n-comm;n-suru]cheating; deceit; deception; military deception
[へん]蝠:[n-comm]bat (Chiroptera spp.); opportunist; turncoat; umbrella
[へん]狭:[adj-n;n-comm]illiberality; intolerance; narrow-mindedness; narrowness
[へん]狭:[adj-n;n-comm]illiberality; intolerance; narrow-mindedness; narrowness","偏食(へんしょく)
偏狭(へんきょう)
前編(ぜんぺん)
後編(こうへん)
一遍(いっぺん)
遍歴(へんれき)
扁平上皮がん(へんぺいじょうひがん)
扁平上皮がん(へんぺいじょうひがん)
前篇(ぜんぺん)
後篇(こうへん)
翩翻(へんぽん)
翩翩(へんぺん)
欺騙(きへん)
欺騙(ぎへん)
蝙蝠(へんぷく)
褊狭(へんきょう)
褊狭(へんきょう)",0.9,10,1,19
咢,"ガク(顎,諤,愕,萼,鰐,咢,蕚,鄂,鍔,鶚,齶)","[がく]:[n-comm]barb (of a fishhook); chin; jaw
[がく]:[n-comm]barb (of a fishhook); chin; jaw
[がく][がく]:[n-no;adv-to;adjtaru]candid; frank; outspoken
[がく][がく]:[n-no;adv-to;adjtaru]candid; frank; outspoken
驚[がく]:[n-no;n-comm;n-suru;intrnsv]amazement; astonishment; fright; shock; surprise
驚[がく]:[n-no;n-comm;n-suru;intrnsv]amazement; astonishment; fright; shock; surprise
[がく]片:[n-comm]sepal
[がく]:[n-comm]calyx
[がく]魚:[n-comm]alligator; crocodile; crocodilian","顎(がく)
顎(がく)
諤諤(がくがく)
諤諤(がくがく)
驚愕(きょうがく)
驚愕(きょうがく)
萼片(がくへん)
萼(がく)
鰐魚(がくぎょ)",0.45,11,1,16
冓,"コウ(構,講,購,溝,覯,媾,冓,搆,篝,遘)","遺[こう]:[n-comm](archaeological) remains; ancient foundation; remnants (of ancient structures)
虚[こう]:[n-no;n-comm;n-suru;trnsitv]concoction; fabrication; fiction
[こう]釈:[n-comm;n-suru;trnsitv](long-winded) lecture; explanation (in a pompous fashion); explanation (of a text, phrase, etc.); exposition; lecture; story...
進[こう]:[n-comm;n-suru;trnsitv]giving a lecture in the Emperor's presence; lecturing to the Emperor
[こう]読:[n-no;n-comm;n-suru;trnsitv]buying and reading (book, magazine, etc.); subscribing (incl. free subscriptions); taking (e.g. newspaper)
[こう]買力:[n-comm]buying power; purchasing power
排水[こう]:[n-comm]ditch; drainage; gutter
側[こう]:[n-comm]ditch; gutter
稀[こう]:[n-no;n-comm]rare (book, manuscript, etc.)
希[こう]:[n-no;n-comm]rare (book, manuscript, etc.)
[こう]和:[n-comm;n-suru;intrnsv](making of) peace; reconciliation (between warring nations)
[こう]和:[n-comm;n-suru;intrnsv](making of) peace; reconciliation (between warring nations)","遺構(いこう)
虚構(きょこう)
講釈(こうしゃく)
進講(しんこう)
購読(こうどく)
購買力(こうばいりょく)
排水溝(はいすいこう)
側溝(そっこう)
稀覯(きこう)
希覯(きこう)
媾和(こうわ)
媾和(こうわ)",0.6,10,1,16
亢,"コウ(航,抗,坑,亢,伉,頏,杭,吭)","来[こう]:[n-comm;n-suru;intrnsv]arrival by ship; arrival of ships (from abroad)
[こう]空宇宙技術研究所:[n-comm]NAL; National Aerospace Laboratory
不可[こう]力:[n-no;n-comm]act of God; force majeure; inevitability; irresistible force; vis major
反[こう]期:[n-comm]rebellious age; rebellious phase
[こう]口:[n-comm]minehead; pithead
廃[こう]:[n-comm;n-suru;intrnsv]abandoned mine; closure of a mine; disused mine
[こう]進:[n-comm;n-suru;intrnsv]accelerated; aggravated; exacerbated; exasperated; rising
[こう]進:[n-comm;n-suru;intrnsv]accelerated; aggravated; exacerbated; exasperated; rising
[こう]配:[n-comm]married couple; spouse
[こう]儷:[n-comm]husband and wife; married couple; spouses
頡[こう]:[n-comm;n-suru;intrnsv]being an equal match (for); competing (with); contending (with); rivalry (between two equally strong sides); struggle for su...
頡[こう]:[n-comm;n-suru;intrnsv]being an equal match (for); competing (with); contending (with); rivalry (between two equally strong sides); struggle for su...
[こう]州:[n-comm]Hangzhou (China)","来航(らいこう)
航空宇宙技術研究所(こうくううちゅうぎじゅつけんきゅうじょ)
不可抗力(ふかこうりょく)
反抗期(はんこうき)
坑口(こうこう)
廃坑(はいこう)
亢進(こうしん)
亢進(こうしん)
伉配(こうはい)
伉儷(こうれい)
頡頏(きっこう)
頡頏(きっこう)
杭州(こうしゅう)",0.88,8,1,15
甫,"ホ(補,捕,舗,哺,輔,鋪,浦,圃,匍,甫,埔,脯,尃,舖,逋,餔,鯆,黼)
フ(輔,傅,賻,榑,圃,尃,溥,甫,脯,逋,鋪,餔,鯆,黼)
ハク(搏,膊,溥)
タン(愽)","[ほ]てん:[n-comm;n-suru;trnsitv]compensating (for); covering (a loss, deficit, etc.); making up (for); supplementation
[ほ]塡:[n-comm;n-suru;trnsitv]compensating (for); covering (a loss, deficit, etc.); making up (for); supplementation
[ほ]球:[n-comm;n-suru;intrnsv;trnsitv]catch
[ほ]逸:[n-comm;n-suru]catcher missing a ball; passed ball
本[ぽ]:[n-comm]head office; main shop
[ほ]:[countr;n-comm]counter for foldable things such as maps, etc.; shop; store
[ほ]乳:[n-comm;n-suru;intrnsv]lactation; nursing; suckling
[ほ]乳類:[n-comm]mammal; mammalian
[ほ]導:[n-comm;n-suru;trnsitv]guidance; protective custody
[ほ]導:[n-comm;n-suru;trnsitv]guidance; protective custody
[ほ]:[countr;n-comm]counter for foldable things such as maps, etc.; shop; store
[ほ]:[countr;n-comm]counter for foldable things such as maps, etc.; shop; store
三[ぽ]の乱:[expr;n-comm]Disturbance of the Three Ports (riots in Korea in 1510); Sampo Waeran
済物[ぽ]条約:[n-comm]Japan–Korea Treaty of 1882; Treaty of Chemulpo
田[ぽ]:[n-comm]farm; paddy field
田[ぼ]:[n-comm]farm; paddy field
[ほ]匐:[n-comm;n-suru;intrnsv]crawling; creeping; sneaking
[ほ]球:[n-comm]grounder
年[ぽ]:[n-comm]beginning of the year
新[ぽ]:[n-comm]new futures on the first trading session of the month
柬[ぼ]寨:[n-comm]Cambodia
平[ほ]族:[n-comm]plain aborigines; plains indigenous peoples (of Taiwan)
[ほ]:[n-comm]dried meat; jerky

[ふ]す:[v5su]to appoint; to designate
大[ふ]:[n-comm]deputy minister; vice-minister (ritsuryō system)
師[ふ]:[n-comm]guardian and tutor of a nobleman's child
太[ふ]:[n-comm]Grand Tutor (second of the top three civil positions of the Zhou dynasty); Minister of the Left (official in Nara and Heian periods)
[ふ]:[n-comm]money and goods given to a bereaved family
[ふ]物:[n-comm]money and goods given to a bereaved family
[ふ]桑:[n-comm]Chinese hibiscus (Hibiscus rosa-sinensis); divine tree or island east of China (in Chinese mythology); Fusang; Japan
[ふ]桑:[n-comm]Chinese hibiscus (Hibiscus rosa-sinensis); divine tree or island east of China (in Chinese mythology); Fusang; Japan

心[ぱく]:[n-comm]heartbeat
心[ぱく]:[n-comm]heartbeat
下[はく]:[n-comm]forearm
上[はく]:[n-comm]upper arm","補てん(ほてん)
補塡(ほてん)
捕球(ほきゅう)
捕逸(ほいつ)
本舗(ほんぽ)
舗(ほ)
哺乳(ほにゅう)
哺乳類(ほにゅうるい)
輔導(ほどう)
輔導(ほどう)
鋪(ほ)
鋪(ほ)
三浦の乱(さんぽのらん)
済物浦条約(さいもっぽじょうやく)
田圃(でんぽ)
田圃(でんぼ)
匍匐(ほふく)
匍球(ほきゅう)
年甫(ねんぽ)
新甫(しんぽ)
柬埔寨(かんぼじあ)
平埔族(へいほぞく)
脯(ほしし)

輔す(ふす)
大輔(たいふ)
師傅(しふ)
太傅(たいふ)
賻(ふ)
賻物(ふもつ)
榑桑(ふそう)
榑桑(ふそう)

心搏(しんぱく)
心搏(しんぱく)
下膊(かはく)
上膊(じょうはく)",0.503611,36,4,14
曼,"マン(漫,慢,饅,曼,蔓,鬘,鰻,鏝,幔,縵,謾)
バン(幔,曼,縵,蔓,謾,鬘,鰻)","散[まん]:[adj-n;n-comm]desultory; diffuse; distracted; half-hearted; loose; scattered; vague
放[まん]:[adj-n;n-comm]indiscretion; laxity; looseness; whimsy
[まん]心:[n-comm;n-suru;intrnsv]pride; self-conceit
自[まん]話:[n-comm]boastful speech; bragging
もみじ[まん]頭:[n-comm]steamed bun shaped like a maple leaf
中華[まん]:[n-comm]Chinese dumpling; Chinese steamed bun
[まん]荼羅:[n-comm]mandala
[まん]陀羅:[n-comm]mandala
[まん]延:[n-comm;n-suru;intrnsv]being widespread; infestation; proliferation; rampancy; spread (e.g. of a disease)
[まん]衍:[n-comm;n-suru;intrnsv]being widespread; infestation; proliferation; rampancy; spread (e.g. of a disease)
華[まん]草:[n-comm]bleeding heart; Dicentra spectabilis
華[まん]:[n-comm]Buddhist decoration engraved with various motifs, often made from gilt copper (e.g. for adorning the inner shrine of a temple)
養[まん]:[n-comm]eel culture; eel farming
泥[まん]:[n-comm]plastering trowel
[まん]幕:[n-comm]curtain; drapery","散漫(さんまん)
放漫(ほうまん)
慢心(まんしん)
自慢話(じまんばなし)
もみじ饅頭(もみじまんじゅう)
中華饅(ちゅうかまん)
曼荼羅(まんだら)
曼陀羅(まんだら)
蔓延(まんえん)
蔓衍(まんえん)
華鬘草(けまんそう)
華鬘(けまん)
養鰻(ようまん)
泥鏝(でいまん)
幔幕(まんまく)",0.501111,18,2,14
朋,"ホウ(崩,硼,鵬,朋,棚,萠,堋,弸)","[ほう]落:[n-comm;n-suru;intrnsv]break; cave-in; collapse; crash; market crash; market decline
核[ほう]壊:[n-comm]disintegration of a cell nucleus
窒化[ほう]素:[n-comm]boron nitride
[ほう]酸:[n-comm]boric acid
大[ほう]:[n-comm]dapeng (giant bird in Chinese mythology, similar to the roc or Garuda)
育[ほう]社:[n-comm]Ikuhosha Publishing
[ほう]友:[n-comm]companion; friend
同[ほう]:[n-comm]companions; fellows
陸[ほう]:[n-comm]continental shelf
氷[ほう]:[n-comm]ice shelf
[ほう]芽:[n-comm;n-suru;intrnsv]beginning; early sign; germ; germination; sprout; starting to appear
[ほう]芽:[n-comm;n-suru;intrnsv]beginning; early sign; germ; germination; sprout; starting to appear","崩落(ほうらく)
核崩壊(かくほうかい)
窒化硼素(ちっかほうそ)
硼酸(ほうさん)
大鵬(たいほう)
育鵬社(いくほうしゃ)
朋友(ほうゆう)
同朋(どうほう)
陸棚(りくほう)
氷棚(ひょうほう)
萠芽(ほうが)
萠芽(ほうが)",0.75,8,1,14
喬,"キョウ(橋,矯,嬌,僑,驕,喬,蕎,轎)","舟[きょう]:[n-comm]pontoon bridge
陸[きょう]:[n-comm]land bridge (biogeography); overhead bridge; overpass; viaduct
[きょう]正:[n-comm;n-suru;trnsitv]correction (of a fault, defect, flaw, etc.); rectification; redress; reform; remedy; straightening (of teeth)
[きょう]正:[n-comm;n-suru;trnsitv]correction (of a fault, defect, flaw, etc.); rectification; redress; reform; remedy; straightening (of teeth)
愛[ぎょう]:[n-comm]amiability; amusement; attractiveness; charm; courtesy; entertainment; fun; ingratiating behaviour; winsomeness
愛[ぎょう]:[n-comm]amiability; amusement; attractiveness; charm; courtesy; entertainment; fun; ingratiating behaviour; winsomeness
華[きょう]:[n-comm]overseas Chinese
越[きょう]:[n-comm]overseas Vietnamese
[きょう]兵必敗:[expr]being arrogant and overconfident inevitably leads to defeat; defeat is inevitable for an overconfident army; pride comes before a fall
[きょう]慢:[adj-n;n-comm]arrogance; haughtiness; pride
落葉[きょう]木:[n-comm]deciduous tall tree
[きょう]志:[n-comm]pride; self-conceit","舟橋(しゅうきょう)
陸橋(りくきょう)
矯正(きょうせい)
矯正(きょうせい)
愛嬌(あいぎょう)
愛嬌(あいぎょう)
華僑(かきょう)
越僑(えっきょう)
驕兵必敗(きょうへいひっぱい)
驕慢(きょうまん)
落葉喬木(らくようきょうぼく)
喬志(きょうし)",0.75,8,1,14
奚,"ケイ(鶏,蹊,渓,谿,溪,鷄,奚)","[けい]卵:[n-comm]hen's egg
養[けい]:[n-comm]chicken farming; poultry farming; poultry raising
びわこ成[けい]すぽつ大学:[n-comm]Biwako Seikei Sport College
大阪成[けい]大学:[n-comm]Osaka Seikei University
雪[けい]:[n-comm]snowy valley
[けい]流:[n-comm]mountain stream; mountain torrent
[けい]流:[n-comm]mountain stream; mountain torrent
[けい]流:[n-comm]mountain stream; mountain torrent
[けい]谷:[n-comm]canyon; gorge; ravine; valley (with a river running through it)
[けい]谷:[n-comm]canyon; gorge; ravine; valley (with a river running through it)
[けい]卵:[n-comm]hen's egg
[けい]卵:[n-comm]hen's egg
[けい]琴:[n-comm]xiqin (2-stringed Chinese musical instrument)","鶏卵(けいらん)
養鶏(ようけい)
びわこ成蹊すぽつ大学(びわこせいけいすぽつだいがく)
大阪成蹊大学(おおさかせいけいだいがく)
雪渓(せっけい)
渓流(けいりゅう)
谿流(けいりゅう)
谿流(けいりゅう)
溪谷(けいこく)
溪谷(けいこく)
鷄卵(けいらん)
鷄卵(けいらん)
奚琴(けいきん)",1,7,1,14
