Onyomi,Radicals,% (of kanji having this radical) that have this onyomi,% (of kanji having this onyomi) that have this radical,Examples
｜ノ一杰無,ブ,100,5.376,嘸甒嫵墲廡
｜ノ一無,ブ,100,5.376,嘸甒嫵墲廡
｜ノ杰無,ブ,100,5.376,嘸甒嫵墲廡
｜ノ無,ブ,100,5.376,嘸甒嫵墲廡
｜ハ一二目貝,サク,100,2.62,皟幘賾歵瞔
｜ハ一二貝,サク,100,2.62,皟幘賾歵瞔
｜ハ一口目虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ一口目貝,キ,50,0.719,櫃樻貴瞶簣
｜ハ一口目貝,カイ,50,0.606,繢聵憒嘳蕢
｜ハ一口虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ一口貝,キ,50,0.719,櫃樻貴瞶簣
｜ハ一口貝,カイ,50,0.606,繢聵憒嘳蕢
｜ハ一目虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ一目貝,サク,37.5,2.62,皟幘賾歵瞔
｜ハ一目貝,キ,31.25,0.719,櫃樻貴瞶簣
｜ハ一目貝,カイ,31.25,0.606,繢聵憒嘳蕢
｜ハ一虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ一貝,サク,37.5,2.62,皟幘賾歵瞔
｜ハ一貝,キ,31.25,0.719,櫃樻貴瞶簣
｜ハ一貝,カイ,31.25,0.606,繢聵憒嘳蕢
｜ハ二目貝,サク,100,2.62,皟幘賾歵瞔
｜ハ二貝,サク,100,2.62,皟幘賾歵瞔
｜ハ口木目貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口木目頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口木貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口木頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口目虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ口目貝,キ,50,0.719,櫃樻貴瞶簣
｜ハ口目貝,カイ,50,0.606,繢聵憒嘳蕢
｜ハ口目貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口目頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ口貝,キ,50,0.719,櫃樻貴瞶簣
｜ハ口貝,カイ,50,0.606,繢聵憒嘳蕢
｜ハ口貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ口頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ木目貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ木目頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ木貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ木頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ目虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ目貝,サク,35.294,2.62,皟幘賾歵瞔
｜ハ目貝,キ,35.294,0.863,檱櫃樻貴瞶
｜ハ目貝,カイ,29.412,0.606,繢聵憒嘳蕢
｜ハ目貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ目頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ虫貝,カイ,100,0.606,繢聵憒嘳蕢
｜ハ貝,サク,35.294,2.62,皟幘賾歵瞔
｜ハ貝,キ,35.294,0.863,檱櫃樻貴瞶
｜ハ貝,カイ,29.412,0.606,繢聵憒嘳蕢
｜ハ貝頁,ライ,100,1.344,頼瀬懶籟藾
｜ハ頁,ライ,100,1.344,頼瀬懶籟藾
｜ヨ二廴聿,ケン,100,1.866,揵徤犍楗旔
｜ヨ二聿,ケン,100,1.866,揵徤犍楗旔
｜ヨ廴聿,ケン,100,1.866,揵徤犍楗旔
｜ヨ聿,ケン,100,1.866,揵徤犍楗旔
｜一个冂冊口廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂冊口龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂冊廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂冊龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂口廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂口龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冂龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一个冊口廾龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个冊口龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个冊廾龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个冊龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个口廾龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个口龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个廾龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一个龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一二亠口衣,ショウ,100,0.708,儴蠰纕瓤蘘
｜一二亠衣,ショウ,100,0.708,儴蠰纕瓤蘘
｜一二口衣,ショウ,100,0.708,儴蠰纕瓤蘘
｜一二小幺糸,ソ,100,2.717,榡愫塐嗉膆
｜一二小糸,ソ,100,2.717,榡愫塐嗉膆
｜一二幺糸,ソ,100,2.717,榡愫塐嗉膆
｜一二目貝,サク,100,2.62,皟幘賾歵瞔
｜一二糸,ソ,100,2.717,榡愫塐嗉膆
｜一二衣,ショウ,100,0.708,儴蠰纕瓤蘘
｜一二貝,サク,100,2.62,皟幘賾歵瞔
｜一亠口衣,ショウ,100,0.708,儴蠰纕瓤蘘
｜一亠衣,ショウ,100,0.708,儴蠰纕瓤蘘
｜一儿免勹匕口比,サン,100,0.525,毚儳欃劖攙
｜一儿免勹匕比,サン,100,0.525,毚儳欃劖攙
｜一儿免勹口比,サン,100,0.525,毚儳欃劖攙
｜一儿免勹比,サン,100,0.525,毚儳欃劖攙
｜一儿免匕口比,サン,100,0.525,毚儳欃劖攙
｜一儿免匕比,サン,100,0.525,毚儳欃劖攙
｜一儿免口比,サン,100,0.525,毚儳欃劖攙
｜一儿免比,サン,100,0.525,毚儳欃劖攙
｜一儿勹匕口比,サン,100,0.525,毚儳欃劖攙
｜一儿勹匕比,サン,100,0.525,毚儳欃劖攙
｜一儿勹口比,サン,100,0.525,毚儳欃劖攙
｜一儿勹比,サン,100,0.525,毚儳欃劖攙
｜一儿匕口比,サン,100,0.525,毚儳欃劖攙
｜一儿匕比,サン,100,0.525,毚儳欃劖攙
｜一儿口比,サン,100,0.525,毚儳欃劖攙
｜一儿比,サン,100,0.525,毚儳欃劖攙
｜一免勹匕口比,サン,100,0.525,毚儳欃劖攙
｜一免勹匕比,サン,100,0.525,毚儳欃劖攙
｜一免勹口比,サン,100,0.525,毚儳欃劖攙
｜一免勹比,サン,100,0.525,毚儳欃劖攙
｜一免匕口比,サン,100,0.525,毚儳欃劖攙
｜一免匕比,サン,100,0.525,毚儳欃劖攙
｜一免口比,サン,100,0.525,毚儳欃劖攙
｜一免比,サン,100,0.525,毚儳欃劖攙
｜一冂冊口廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂冊口龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂冊廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂冊龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂口廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂口龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂廾龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冂龠,ヤク,100,0.679,龥鑰籲禴鸙
｜一冊口廾龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一冊口龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一冊尸廾戸,ヘン,100,2.703,扁褊偏徧惼
｜一冊尸戸,ヘン,100,2.703,扁褊偏徧惼
｜一冊廾戸,ヘン,100,2.703,扁褊偏徧惼
｜一冊廾龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一冊戸,ヘン,100,2.703,扁褊偏徧惼
｜一冊龠,ヤク,100,0.815,龥鑰籲禴鸙
｜一勹匕口比,サン,100,0.525,毚儳欃劖攙
｜一勹匕比,サン,100,0.525,毚儳欃劖攙
｜一勹口比,サン,100,0.525,毚儳欃劖攙
｜一勹比,サン,100,0.525,毚儳欃劖攙
｜一匕口比,サン,100,0.525,毚儳欃劖攙
